Site_ID,Site,Cluster_3,SEIS_SCR,FWI_SCR,FLOOD_SCR,RUSLE_SCR,ELSUS_SCR,ASSET_SCR,Rusle_MTH,ELSUS_MTH,Material_general,WLC_RISK2
SITE_0179,Philippopolis Roman Baths I,1,9,5,3,,1,1,Urban excl.,Direct,Mortared stone masonry,4.934111
SITE_0180,Remains of Fortress wall of Philippopolis,1,9,5,3,,1,1,Urban excl.,Direct,Mortared stone masonry,4.934111
SITE_0181,Roman Forum of Philippopolis,1,9,5,1,,1,1,Urban excl.,Direct,Mortared stone masonry,4.866924
SITE_0182,Roman Stadium of Philippopolis,1,9,5,3,,1,1,Urban excl.,Direct,Mortared stone masonry,4.934111
SITE_0183,Spas Bair hill,1,9,3,1,5,1,1,Direct,Direct,Mortared stone masonry,4.290936
SITE_0184,Belintash,2,7,1,1,3,9,5,Direct,Direct,Rock-cut / bedrock construction,6.417065
SITE_0185,Chetinyova Mogila,3,5,1,1,7,7,7,Direct,Direct,Earthwork / early stone construction,5.683037
SITE_0186,Horizon mound,1,5,1,1,1,1,7,Direct,Direct,Earthwork (earthen burial mound),3.193413
SITE_0187,Royal tomb,1,5,1,1,7,7,7,Direct,Direct,Earthwork (earthen burial mound),4.465347
SITE_0188,Church of St. Nicholas,1,9,5,3,,1,3,Urban excl.,Direct,Mortared mixed masonry (stone + brick),5.306222
SITE_0189,Chintulovo mound,1,3,1,1,3,3,7,Direct,Direct,Earthwork (earthen burial mound),3.029679
SITE_0190,Nanchovata Mogila,1,3,1,3,5,3,7,Direct,Direct,Earthwork (earthen burial mound),3.267136
SITE_0191,Dyadovo settlement,1,3,5,1,,3,3,Urban excl.,Direct,Mortared mixed masonry (stone + brick),3.577300
SITE_0192,Kaloyanovo Mound I,1,3,3,1,3,5,7,Direct,Direct,Earthwork (earthen burial mound),3.865181
SITE_0193,Kaloyanovo Mound II,1,3,3,1,3,5,7,Direct,Direct,Earthwork (earthen burial mound),3.865181
